============================== SRIM-2003.24 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = He (02)   Ion Mass= 004.0030
Energy  = 1000000.E-07 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E-02 A
  Layer # 1 - Density =0008.9200 g/cm3
  Layer # 1 -  100 % of Cu
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000490   8.8105E+00  1.6613E+01  6.3547E+00
0000491   7.2357E+00 -1.3229E+01 -4.0612E+00
0000494   1.3586E+01  8.6688E+00 -4.3167E-02
0000495   2.9698E+01  9.3213E+00  1.1442E+00
0000496   2.1404E+01 -1.2823E+01 -9.4982E+00
0000497   2.1727E+01  1.3138E+01 -4.9181E+00
0000498   3.6873E+00 -1.5245E+01  1.1187E+01
0000499   2.5665E+01 -2.5217E+01  5.1760E+00
0000500   1.1168E+01 -5.3457E-01 -2.2209E+00
0000501   8.6026E+00 -2.0399E+01 -6.5062E+00
0000503   2.9163E+01 -2.9360E+00  2.4511E+01
0000504   2.1456E+01  8.7298E+00  2.8074E+01
0000507   1.9139E+01 -7.9529E-01 -4.3509E+00
0000510   2.2416E+01 -2.1741E+01  6.9575E-01
0000511   9.0528E+00  3.7299E+01 -2.6437E+01
0000512   5.0103E+00 -1.2957E+01 -1.7798E+01
0000515   7.5833E+00 -2.6908E+00 -1.0657E+01
0000516   1.2298E+01  2.3988E+01 -1.5255E+01
0000517   2.3096E+01 -9.0448E+00  2.7173E-01
0000519   1.3117E+01 -1.0175E+01  2.2620E+00
0000522   8.1968E+00  1.3721E+01 -5.0595E+00
0000523   2.9226E+01  1.0273E+01  9.8581E+00
0000524   2.6917E+01 -1.0133E+00 -1.3441E+01
0000527   2.5428E+01  1.2254E+01 -1.0144E+01
0000528   1.8145E+01 -2.0615E+01 -2.3956E+01
0000530   8.9713E+00  1.2654E+00 -2.1724E+01
0000532   2.8280E+01  7.3861E+00 -4.3055E+00
0000534   5.9383E+00 -1.0398E-01 -2.2678E+00
0000535   2.6140E+01  3.5769E+00  5.6926E+00
0000536   7.5825E+00  1.6231E+01  1.8781E+01
0000537   8.6881E+00 -1.3179E+00 -1.3316E+01
0000538   2.7282E+01  1.9427E+01  4.8558E+00
0000539   1.8565E+01 -1.0557E+01 -1.0496E+01
0000543   2.1068E+01 -1.1426E+01  2.4908E+00
0000545   1.6293E+01  1.7706E+00 -8.8881E-01
0000546   2.9204E+01  1.1606E+01  3.9783E+00
0000549   2.2843E+01 -1.6015E+01 -3.4539E+00
0000550   2.5032E+01  2.5169E+01  2.3429E+01
0000551   1.1021E+01 -7.4806E-01  4.1395E+00
0000552   1.4654E+01  1.0777E+01 -1.5877E+00
0000553   7.3957E+00  1.6580E+01 -3.5814E+00
0000558   2.1170E+01 -8.9238E+00 -6.0887E+00
0000559   1.8278E+01 -8.3613E+00  1.4859E+01
0000562   1.7720E+01 -1.1675E+01 -1.7620E+01
0000563   2.9734E+01  9.7156E+00 -2.4559E+01
0000567   2.1006E+01  1.6557E+01  1.5756E+01
0000571   3.0072E+01 -1.4651E+01  3.4584E+00
0000572   2.9183E+01  1.6964E+01 -2.5329E+00
0000574   1.8061E+00 -5.8773E+00 -2.9222E+00
0000576   1.6781E+01  6.6470E+00 -8.5619E+00
0000579   1.1494E+01 -3.6512E+00 -1.6051E+01
0000581   1.3983E+01  1.4163E+01  1.2778E+01
0000585   2.3425E+01  5.2418E+00  1.1402E+01
0000586   2.9327E+00  7.7561E+00 -8.0086E+00
0000588   1.2695E+01 -2.6482E+01 -1.1187E+01
0000590   1.4245E+01 -2.4186E+01  8.2200E+00
0000591   1.7453E+01  5.8613E-01 -5.3624E+00
0000594   3.4120E+01  6.5824E-01  1.0521E+01
0000596   7.1697E+00 -1.8909E-01  7.5205E+00
0000597   1.9803E+01 -1.7663E+01  1.4456E+01
0000599   1.3601E+01 -1.5069E+01 -1.5989E+01
0000601   1.9474E+01  3.4624E+01  1.4209E+00
0000602   4.2921E+00  4.7040E+00  1.1701E+01
0000603   1.8450E+01 -1.9256E+01 -1.5643E+00
0000604   2.5479E+01  7.5166E+00  2.4089E-01
0000605   1.0355E+01  1.3859E+01 -1.0232E+01
0000606   1.5195E+01  1.8997E+01  9.3154E+00
0000609   3.0986E+01 -8.4144E+00  9.6433E+00
0000610   1.2435E+01  1.5621E+01  9.6739E+00
0000613   2.1408E+01 -9.5734E+00 -9.4080E+00
0000614   2.3283E+01  2.3395E+01 -5.4761E+00
